Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000065911.12	0.731722483309799	6.51448892247664	1.54803066891183	0.170297225912602	0.476601619688845	-5.49972582568259
ENSG00000286112.1	-1.0872887043946	1.47773193661924	-1.54801008709547	0.17030209284945	0.476601619688845	-5.0604053591705
ENSG00000176092.15	1.35570093446414	-0.424366478395682	1.54786374575561	0.170336701616933	0.476636331665686	-4.90958350202913
ENSG00000205138.3	-0.890092660172688	4.24102260241059	-1.54741427082844	0.170443040640309	0.47675533216565	-5.39078014377364
ENSG00000108592.17	-0.68408085982277	5.42550215838112	-1.54740491663825	0.170445254360969	0.47675533216565	-5.49300835535564
ENSG00000105146.13	1.26620981980355	-0.162625584706013	1.54735740835821	0.170456497872517	0.47675533216565	-4.92917832848701
ENSG00000183691.6	1.92947898966004	-1.44225974357626	1.54730850440736	0.170468072414226	0.47675533216565	-4.83514009059607
ENSG00000179776.19	-0.735794631785336	5.1173163116098	-1.54686417396495	0.170573269826099	0.476987394061649	-5.47535674982771
ENSG00000229047.1	1.31241770087698	0.701307653362091	1.54609295078442	0.170756004890697	0.477378516147605	-4.99621790292962
ENSG00000276101.1	2.64351530194797	-1.44498035596062	1.54590442365434	0.170800702705725	0.477378516147605	-4.83199274866605
ENSG00000169962.5	-1.43703010162571	0.0782077322127204	-1.54578458667379	0.170829120491806	0.477378516147605	-4.95471254262202
ENSG00000259343.7	-1.29843235391715	1.3777609486282	-1.54572637159492	0.170842927038758	0.477378516147605	-5.05516384821846
ENSG00000233461.6	-1.01574148935865	3.24541260350895	-1.54563611196168	0.170864335478153	0.477378516147605	-5.26030916268234
ENSG00000148584.15	-1.24569096032266	4.27056721496791	-1.54562597719044	0.17086673947393	0.477378516147605	-5.3925720764031
ENSG00000251600.8	1.69773510978667	-0.10723271583816	1.54530706316465	0.170942402923991	0.477378516147605	-4.93173066537944
ENSG00000110274.16	0.845841399585099	5.20675535292379	1.54527117483351	0.170950919515261	0.477378516147605	-5.46506356546326
ENSG00000254415.3	-3.11402519618264	-0.553840330752395	-1.54520610461457	0.170966362216525	0.477378516147605	-4.89847997938023
ENSG00000070018.9	-0.946952402535022	3.9893270199363	-1.54518013776969	0.170972525126857	0.477378516147605	-5.36165334723283
ENSG00000245275.8	1.12715133383436	1.21866466902377	1.5451388911666	0.170982314926425	0.477378516147605	-5.04359162906334
ENSG00000203618.6	1.15482478950975	3.23141344149132	1.54507802478501	0.170996762399114	0.477378516147605	-5.24774966318968
ENSG00000138449.10	-0.917671135940288	6.19848757687716	-1.54505488464097	0.171002255330023	0.477378516147605	-5.51741585741881
ENSG00000150782.12	-1.04478599319749	2.17073192481837	-1.54466288168966	0.171095332771954	0.477576244206762	-5.13084869163985
ENSG00000287937.1	-1.9923221469413	-1.62681807865861	-1.54413860453219	0.171219891537851	0.477766364732979	-4.83096511215604
ENSG00000146232.17	-0.955399155842714	3.57982694574404	-1.54412872393877	0.171222239801851	0.477766364732979	-5.30838049912349
ENSG00000060140.9	-1.3704664574236	2.95802166238285	-1.54409515284395	0.171230218676488	0.477766364732979	-5.22355605235474
ENSG00000275718.2	-1.51963960865529	0.373963818119988	-1.54379478953298	0.171301621786063	0.477819687445132	-4.97875265190108
ENSG00000227057.10	-0.69349692612764	4.93645233938129	-1.54377586272607	0.171306122045637	0.477819687445132	-5.46597192854557
ENSG00000225108.1	-1.73274809076198	1.64829853454704	-1.54366190339287	0.171333220689495	0.477819687445132	-5.08201879857335
ENSG00000013392.8	-0.810273818234486	3.70755639334841	-1.54356290740667	0.171356764418448	0.477819687445132	-5.32716526363317
ENSG00000162999.13	1.27620206041151	0.916553995728448	1.54354664866459	0.171360631444334	0.477819687445132	-5.01783261098185
ENSG00000137731.14	-1.74151718335724	2.3263419904458	-1.54302057834659	0.1714857975515	0.477983825661376	-5.14930916142188
ENSG00000128045.7	1.86054955373597	0.87203703923959	1.542994633106	0.171491972824498	0.477983825661376	-5.0110082760999
ENSG00000163808.17	1.04406357702844	3.90045101590586	1.54291817470021	0.171510172034937	0.477983825661376	-5.33214775789182
ENSG00000256073.3	1.02904210828761	2.30291946306891	1.54290117622648	0.171514218386048	0.477983825661376	-5.1466726565417
ENSG00000260963.2	-1.53506079229029	-1.51770395793017	-1.54258096230284	0.171590459431823	0.477983825661376	-4.84188929367182
ENSG00000185518.11	4.97544304432385	0.306423504316315	1.54246159303778	0.171618888653878	0.477983825661376	-4.93465559349468
ENSG00000162585.17	-1.01642853001918	6.4681780155453	-1.54223804422675	0.17167214132679	0.477983825661376	-5.51919011946598
ENSG00000271699.5	-1.53154597934672	0.346682889733455	-1.54213170551761	0.171697478219089	0.477983825661376	-4.97858365708222
ENSG00000262664.3	-0.783669979255639	4.32676229306217	-1.54210200974899	0.171704554333487	0.477983825661376	-5.40803544527699
ENSG00000149564.12	-0.716772659944658	4.82146116878433	-1.54205352359936	0.171716108536441	0.477983825661376	-5.4585332886244
ENSG00000111339.12	-0.955141093796788	2.8396905330027	-1.5419970347854	0.171729570683048	0.477983825661376	-5.21168810388585
ENSG00000012171.20	0.914077419002032	3.71623340696394	1.54188958368792	0.171755180642242	0.477983825661376	-5.3151579316609
ENSG00000125734.15	-0.818911783142473	5.83539657205018	-1.54186770657892	0.171760395282867	0.477983825661376	-5.51557416770567
ENSG00000141551.14	-0.746224171447699	7.28627672393077	-1.54185258441799	0.171763999896561	0.477983825661376	-5.49311201809622
ENSG00000167748.11	1.5865291609247	-0.953235782750666	1.54181251168109	0.171773552228865	0.477983825661376	-4.87836577508186
ENSG00000257950.3	-1.16577788224154	1.62446414595024	-1.5418031441448	0.171775785285435	0.477983825661376	-5.08090729837886
ENSG00000084444.14	-0.746172782324205	4.30967013949446	-1.54157216592035	0.171830855030407	0.478075087910265	-5.40685770227469
ENSG00000130755.13	-0.801927749461016	3.68680455791122	-1.5410344375619	0.171959123949834	0.478369957955312	-5.32757835134177
ENSG00000140718.21	0.822986307458032	4.78037337723959	1.5408917158068	0.171993183605826	0.478383829083863	-5.43724641804697
ENSG00000172250.16	-1.67379559720907	2.04470819818842	-1.54082677432413	0.172008683571826	0.478383829083863	-5.12252783926978
ENSG00000273514.1	-2.36925148523823	-2.37070894138633	-1.54046050496747	0.172096127676286	0.478539730977628	-4.78490624743467
